,A01,A02,A03,B05,B06,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S
CIV,NGA,NGA,NGA,NGA,ARG,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA
CMR,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,FRA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA
COD,SWE,SWE,SWE,SWE,USA,SWE,SWE,SWE,SWE,SWE,SWE,SWE,USA,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL
CRI,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL
CYP,GRC,GRC,GRC,,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC
CZE,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
DEU,DEU,DEU,DEU,DEU,DEU,,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
DNK,SWE,SWE,SWE,,SWE,,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
EGY,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,DEU,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC
ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
EST,SWE,SWE,SWE,SWE,SWE,,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
FIN,SWE,SWE,SWE,SWE,,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
GBR,GBR,GBR,GBR,GBR,GBR,,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC
HKG,HKG,HKG,HKG,,,,,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG
HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV
HUN,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
IDN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
IRL,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
ISL,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
ISR,ISR,ISR,ISR,,ISR,,NLD,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,GBR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR
ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,NLD,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA
JOR,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
KAZ,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
KHM,TWN,TWN,TWN,,,TWN,TWN,TWN,TWN,TWN,CHN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR
LAO,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,HKG,TWN,TWN,TWN,TWN,SWE,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
LTU,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
LUX,NLD,NLD,,,,NLD,NLD,,NLD,NLD,NLD,NLD,,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,DEU,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD
LVA,POL,POL,POL,POL,,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
MAR,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX
MLT,TUR,,TUR,,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR
MMR,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
MYS,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA
NLD,NLD,NLD,NLD,,NLD,,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD
NOR,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
NZL,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS
PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK
PER,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL
PHL,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
PRT,ESP,ESP,ESP,,,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
ROU,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC
RUS,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
SAU,KOR,KOR,KOR,,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR
SEN,NGA,NGA,NGA,NGA,NGA,FRA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,FRA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA
SGP,TWN,,TWN,,,,,,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
STP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
SVK,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL
SVN,HRV,HRV,HRV,HRV,,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,ITA,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV
SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
